"is_apartment","is_house","less_than_10_years_old","more_than_20_years_old","between_10_and_20_years_old","garages","administration_price","baths","lat","lng","price","price_m2","rooms","total_area_m2"
1,0,0,1,0,1,225000,2,4.745999813079834,-74.04199981689453,275000000,3618421.0,3,76.0
0,1,0,1,0,2,100000,3,4.691779613494873,-74.07171630859375,799900000,4123195.0,4,194.0
1,0,0,1,0,1,257000,2,4.669000148773193,-74.12899780273438,380000000,4269662.0,3,89.0
1,0,0,1,0,2,561000,3,4.699062347412109,-74.06428527832031,561000000,5666666.0,3,99.0
1,0,1,0,0,2,350000,2,4.7429094314575195,-74.0602798461914,460000000,5227272.0,3,88.0
1,0,0,1,0,1,424000,2,4.721506118774414,-74.03292846679688,280000000,4745762.0,3,59.0
1,0,0,1,0,0,82500,3,4.634029865264893,-74.07344055175781,260000000,4333333.0,3,60.0
1,0,0,1,0,1,220000,2,4.652903079986572,-74.10905456542969,369000000,5676923.0,3,65.0
1,0,0,0,1,1,220000,2,4.693383693695068,-74.08409118652344,410000000,6612903.0,3,62.0
1,0,0,1,0,1,160000,1,4.719708442687988,-74.02818298339844,330000000,6346153.0,2,52.0
1,0,1,0,0,1,234000,1,4.60906982421875,-74.06871032714844,240000000,7272727.0,1,33.0
1,0,0,0,1,1,190000,1,4.722959995269775,-74.03945922851562,289000000,6880952.0,1,42.0
1,0,0,1,0,1,150000,2,4.7404680252075195,-74.03422546386719,290000000,5000000.0,3,58.0
1,0,1,0,0,1,160000,2,4.6561079025268555,-74.1353530883789,470000000,5949367.0,3,79.0
1,0,1,0,0,2,397000,3,4.728357791900635,-74.04471588134766,459000000,6202702.0,2,74.0
1,0,0,1,0,1,400000,1,4.7255682945251465,-74.03730773925781,250000000,5319148.0,2,47.0
1,0,0,0,1,2,312000,2,4.716009140014648,-74.03060913085938,390000000,5342465.0,2,73.0
1,0,1,0,0,1,262000,2,4.7480316162109375,-74.03609466552734,340000000,4473684.0,2,76.0
1,0,0,1,0,3,450000,3,4.725754261016846,-74.02528381347656,575000000,5227272.0,3,110.0
1,0,0,1,0,1,350000,2,4.739421844482422,-74.0442886352539,330000000,4342105.0,2,76.0
1,0,0,0,1,1,407000,2,4.726400852203369,-74.03762817382812,370000000,5068493.0,2,73.0
1,0,0,0,1,1,496000,2,4.613999843597412,-74.06600189208984,490000000,5384615.0,2,91.0
1,0,0,1,0,1,240000,2,4.7374677658081055,-74.04244232177734,280000000,3835616.0,3,73.0
1,0,0,0,1,2,200000,2,4.722109794616699,-74.02998352050781,330000000,6226415.0,1,53.0
1,0,0,0,1,1,400000,2,4.731351852416992,-74.03738403320312,530000000,4953271.0,3,107.0
1,0,0,1,0,2,340000,2,4.6343607902526855,-74.09647369384766,560000000,5090909.0,3,110.0
1,0,1,0,0,2,486000,4,4.747518539428711,-74.06866455078125,840000000,6829268.0,3,123.0
1,0,0,1,0,1,226000,1,4.7210001945495605,-74.02899932861328,260000000,6842105.0,1,38.0
1,0,1,0,0,1,259000,2,4.72289514541626,-74.133056640625,350000000,4729729.0,3,74.0
1,0,0,1,0,2,450000,3,4.6946120262146,-74.06493377685547,570000000,4750000.0,3,120.0
1,0,0,0,1,1,310000,2,4.738592147827148,-74.0549545288086,380000000,5000000.0,3,76.0
1,0,0,1,0,2,285000,4,4.630929946899414,-74.0948486328125,610000000,5398230.0,4,113.0
0,1,0,1,0,2,423000,4,4.723388195037842,-74.03144836425781,525000000,4646017.0,4,113.0
1,0,0,0,1,1,250000,2,4.755344867706299,-74.03885650634766,420500000,4163366.0,3,101.0
1,0,0,1,0,2,442000,2,4.7339911460876465,-74.04239654541016,450000000,4411764.0,3,102.0
1,0,1,0,0,2,420000,2,4.738913536071777,-74.05506134033203,470000000,4895833.0,3,96.0
1,0,0,0,1,1,260000,2,4.755344867706299,-74.03885650634766,408000000,4636363.0,3,88.0
0,1,0,1,0,1,330000,2,4.743905067443848,-74.0915756225586,345000000,4345088.0,3,79.4
1,0,1,0,0,1,220000,2,4.632895469665527,-74.09473419189453,736405000,6458559.0,3,114.02
0,1,0,1,0,2,253100,2,4.672142028808594,-74.13005065917969,450000000,4245283.0,3,106.0
1,0,1,0,0,2,312000,2,4.719908237457275,-74.03455352783203,438000000,6169014.0,2,71.0
1,0,0,0,1,0,110000,1,4.631586074829102,-74.12165069580078,185000000,5441176.0,1,34.0
0,1,0,1,0,2,253100,2,4.672142028808594,-74.13005065917969,450000000,4245283.0,3,106.0
1,0,1,0,0,2,450000,2,4.679648399353027,-74.06202697753906,630000000,7875000.0,2,80.0
1,0,0,0,1,0,215000,2,4.658807754516602,-74.12784576416016,265000000,4907407.0,3,54.0
1,0,0,1,0,1,237000,3,4.7383952140808105,-74.04253387451172,350000000,4117647.0,3,85.0
1,0,0,0,1,1,450000,3,4.7227325439453125,-74.03569793701172,450000000,5172413.0,3,87.0
1,0,1,0,0,1,500000,2,4.728000164031982,-74.04499816894531,595000000,6761363.0,3,88.0
1,0,0,1,0,0,280000,1,4.641410827636719,-74.05937194824219,325000000,5416666.0,2,60.0
1,0,0,1,0,1,240000,2,4.65654182434082,-74.1097183227539,490000000,6533333.0,3,75.0
1,0,1,0,0,1,252000,2,4.682240009307861,-74.09880828857422,410000000,5466666.0,3,75.0
1,0,1,0,0,1,350000,2,4.740201473236084,-74.05599212646484,500000000,5617977.0,3,89.0
1,0,0,1,0,2,437000,2,4.722139835357666,-74.0290298461914,320000000,3902439.0,3,82.0
1,0,0,0,1,1,450000,3,4.729678153991699,-74.03446960449219,530000000,5196078.0,3,102.0
0,1,0,1,0,2,374000,3,4.735473155975342,-74.03362274169922,540000000,3552631.0,4,152.0
1,0,0,1,0,1,320000,2,4.729042053222656,-74.04278564453125,260000000,4193548.0,3,62.0
0,1,0,1,0,1,250000,3,4.747461318969727,-74.03334045410156,498000000,4256410.0,4,117.0
1,0,1,0,0,1,205000,2,4.641152858734131,-74.15251159667969,400000000,4597701.0,3,87.0
1,0,0,1,0,1,310000,2,4.734901428222656,-74.05081176757812,260000000,3714285.0,3,70.0
1,0,0,0,1,2,298000,2,4.697015762329102,-74.07843017578125,399900000,4346739.0,3,92.0
0,1,0,1,0,2,252000,3,4.748684406280518,-74.03363800048828,450000000,3571428.0,3,126.0
1,0,0,1,0,1,260000,2,4.7602152824401855,-74.0475082397461,330000000,4342105.0,3,76.0
1,0,0,0,1,1,170000,2,4.661588668823242,-74.1287841796875,350000000,4166666.0,3,84.0
1,0,1,0,0,2,364500,2,4.660730838775635,-74.11305236816406,780000000,8343138.0,3,93.49
1,0,0,0,1,2,460000,3,4.736037254333496,-74.05841827392578,750000000,4934210.0,3,152.0
1,0,0,0,1,1,200000,2,4.645073890686035,-74.05450439453125,400000000,7843137.0,1,51.0
1,0,0,1,0,1,213000,3,4.728688716888428,-74.03295135498047,494000000,5200000.0,3,95.0
0,1,0,0,1,1,320000,3,4.755253314971924,-74.03878784179688,450000000,3750000.0,3,120.0
1,0,0,0,1,3,1005000,4,4.647611141204834,-74.05630493164062,940000000,6482758.0,3,145.0
0,1,0,1,0,3,410000,5,4.721393585205078,-74.0366439819336,748000000,2770370.0,4,270.0
1,0,0,0,1,1,226000,2,4.751544952392578,-74.05596160888672,250000000,4166666.0,3,60.0
1,0,1,0,0,1,290000,2,4.73961067199707,-74.0674819946289,440000000,6197183.0,3,71.0
1,0,0,1,0,2,416000,3,4.722723960876465,-74.02897644042969,370000000,4805194.0,4,77.0
1,0,0,0,1,1,253000,2,4.69223690032959,-74.07929229736328,480000000,6315789.0,3,76.0
1,0,1,0,0,1,200000,2,4.730525016784668,-74.0233154296875,510000000,7500000.0,2,68.0
1,0,1,0,0,2,270000,2,4.740250110626221,-74.06926727294922,440000000,5789473.0,2,76.0
1,0,0,0,1,1,300000,1,4.72703218460083,-74.04350280761719,265000000,7571428.0,1,35.0
1,0,0,0,1,1,230000,2,4.722522735595703,-74.0343017578125,350000000,6481481.0,1,54.0
1,0,0,0,1,0,91000,1,4.6539998054504395,-74.13700103759766,145000000,3085106.0,2,47.0
1,0,0,1,0,1,321900,2,4.727301120758057,-74.03932189941406,356000000,4684210.0,3,76.0
0,1,0,1,0,2,447007,3,4.734383583068848,-74.03425598144531,630000000,4012738.0,3,157.0
0,1,0,1,0,2,150000,3,4.697259902954102,-74.08126831054688,860000000,3127272.0,4,275.0
1,0,0,0,1,2,620000,3,4.727386474609375,-74.04158782958984,720000000,6000000.0,3,120.0
1,0,0,1,0,1,451000,2,4.718886375427246,-74.03876495361328,285000000,3904109.0,3,73.0
1,0,0,1,0,2,418000,3,4.59716796875,-74.15504455566406,550000000,6524317.0,3,84.3
0,1,1,0,0,2,470000,3,4.742849826812744,-74.08184814453125,620000000,3949044.0,4,157.0
1,0,0,0,1,1,240000,2,4.743841648101807,-74.02739715576172,310000000,4305555.0,3,72.0
1,0,0,0,1,0,120000,2,4.673953056335449,-74.08699035644531,218000000,4192307.0,3,52.0
1,0,0,1,0,1,313000,2,4.642717361450195,-74.06954193115234,420000000,6086956.0,3,69.0
1,0,0,1,0,1,375000,2,4.6328301429748535,-74.0865707397461,595000000,6010101.0,3,99.0
1,0,0,1,0,1,294000,2,4.673953056335449,-74.08699035644531,270000000,4354838.0,3,62.0
1,0,1,0,0,1,350000,3,4.635301113128662,-74.0632095336914,600000000,9230769.0,2,65.0
1,0,0,1,0,1,130000,1,4.642630100250244,-74.07227325439453,330000000,5593220.0,2,59.0
1,0,0,0,1,0,170000,2,4.658740520477295,-74.12052154541016,275000000,4661016.0,3,59.0
1,0,0,0,1,2,432400,2,4.724506855010986,-74.0440673828125,394500000,5556338.0,2,71.0
1,0,0,0,1,1,260000,2,4.755344867706299,-74.03885650634766,408000000,4533333.0,3,90.0
1,0,1,0,0,1,187500,2,4.601687908172607,-74.1121597290039,345000000,6509433.0,3,53.0
1,0,1,0,0,1,160000,2,4.725432872772217,-74.13690185546875,310000000,4920634.0,3,63.0
1,0,0,0,1,2,438000,4,4.73560905456543,-74.03582000732422,679000000,4297468.0,4,158.0
1,0,0,1,0,0,170000,2,4.741000175476074,-74.06400299072266,250000000,4310344.0,3,58.0
1,0,0,1,0,1,223000,2,4.643493175506592,-74.0540771484375,315000000,3937500.0,3,80.0
1,0,0,0,1,0,140000,1,4.743697643280029,-74.06381225585938,195000000,3750000.0,3,52.0
1,0,0,1,0,1,215000,2,4.594398021697998,-74.0725326538086,369000000,3765306.0,3,98.0
1,0,0,0,1,1,315000,2,4.726091384887695,-74.05999755859375,478500000,5376404.0,3,89.0
0,1,0,0,1,1,230000,2,4.744816303253174,-74.06652069091797,405000000,4263157.0,3,95.0
1,0,0,1,0,1,230000,2,4.670811653137207,-74.12425994873047,298000000,4138888.0,3,72.0
1,0,0,1,0,1,250000,2,4.718999862670898,-74.03800201416016,265000000,4076923.0,3,65.0
1,0,0,0,1,1,360000,2,4.69895601272583,-74.08171081542969,380000000,4750000.0,3,80.0
1,0,0,1,0,1,364000,2,4.6485090255737305,-74.06887817382812,320000000,5333333.0,2,60.0
1,0,0,0,1,1,220000,2,4.657993793487549,-74.13090515136719,329000000,4838235.0,3,68.0
1,0,1,0,0,1,410000,2,4.646639823913574,-74.07318115234375,470000000,5875000.0,3,80.0
1,0,1,0,0,2,259000,2,4.718303680419922,-74.04293060302734,450000000,6000000.0,2,75.0
1,0,1,0,0,1,320000,2,4.687798500061035,-74.094970703125,488000000,5191489.0,3,94.0
1,0,0,1,0,1,437000,2,4.729191780090332,-74.05774688720703,550000000,5092592.0,3,108.0
1,0,1,0,0,2,255000,2,4.740462303161621,-74.06646728515625,400000000,5882352.0,3,68.0
0,1,0,1,0,1,330000,2,4.743905067443848,-74.0915756225586,345000000,4345088.0,3,79.4
1,0,0,0,1,1,320000,2,4.741559982299805,-74.06495666503906,420000000,4421052.0,3,95.0
